LSOA21CD,MSOA21CD,log_voa_rv_2023,rv_per_working_age,sme_density,qualification_index,firm_size_diversity,rv_per_employee,sme_qual_interaction,employment_quality,modern_sector_leverage,asset_growth_diversity,log_total_GVA_2023,is_swindon
E01015575,E02003227,12.694994224095195,378.3182932714617,59.30318754633062,-13.936249073387694,0.8984375,1200.822959324776,-826.4639924914867,0.2205337286879169,-3.4840622683469236,14.545249729176636,3.460032167383048,Swindon
E01015576,E02003228,11.996215021617965,164.2745009118541,151.14873035066506,8.82708585247884,0.912,1207.5912317880418,1334.2028192984947,0.06801692865779925,3.2294216533459164,15.086593564949988,4.324463727272736,Swindon
E01015578,E02003223,15.378163861647524,2508.6559458464776,320.2846975088968,7.552392249901146,0.9096174363664076,1510.5683488464886,2418.915667228125,0.3321470938,1.9731475247489476,3.5000496053308945,5.31776699036935,Swindon
E01015579,E02003223,12.891027690490441,333.39120285714284,465.7849338700402,4.657849338700402,0.9096174363664076,1783.8898448742498,2169.556046203177,0.11680563542265669,1.2169155929937983,23.89899705980469,3.307948409442525,Swindon
E01015580,E02003218,11.095719009781924,61.75022265229615,73.92075694855114,-2.897693672383202,0.8582230623818525,2088.32188747554,-214.19970966759325,0.019712201999999998,-0.5519416518825144,12.358557711958214,2.4532439692791588,Swindon
E01015581,E02003223,16.767356059423886,18747.54686581783,510.718789407314,4.539722572509458,0.9096174363664076,7824.63076824281,2318.5216164770873,0.638923917612442,1.1860536450700383,-11.753821665209573,5.411422812653309,Swindon
E01015582,E02003223,13.923095940070196,749.8888464646465,361.7686467172845,12.862885216614563,0.9096174363664076,399.7619600398369,4653.388577694415,0.3751674854845914,3.360573615151552,-0.7805912838920896,4.656442980165514,Swindon
E01015584,E02003236,12.177669794973971,264.4875424489796,375.0884642604388,5.803255484784142,0.9049483802064792,1245.730457544239,2176.734187498652,0.15165301789505609,2.1278603444208515,14.043352075321993,2.6381998192011293,Swindon
E01015585,E02003236,14.846809710742221,1570.3842172452407,187.743535246192,10.520722635494154,0.9049483802064792,2770.7417646745707,1975.197660932307,0.4408233951273271,3.857598299681189,3.9061158715723954,4.249865731071543,Swindon
E01015586,E02003236,11.049821157692781,93.09422865384616,390.85545722713863,5.014749262536867,0.9049483802064792,1485.1030566503537,1960.0421158883034,0.0895490942857143,1.8387413962635175,16.005168400054004,2.2582151452581054,Swindon
