FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,gva,lsoa_workers_at_workplace,ln_gva,ln_jobs,elasticity
14783,E01015567,Swindon 014C, ,412348,184836,51.56227,-1.82325,4c1158dd-7f29-4b7a-ba2c-bfefc6e90ff1,37.07,258,3.612808017162641,5.552959584921617,0.6094420666285558
14784,E01015568,Swindon 014D, ,412731,184573,51.5599,-1.81774,aefedcf7-f089-40e0-b3b2-d6cd117baf13,521.949,1003,6.257569881960145,6.910750787961936,0.5950008119851483
14785,E01015569,Swindon 022D, ,411840,184064,51.55534,-1.83061,f73dc871-7fbe-4203-af89-c4765ad1749f,25.915999999999997,500,3.2548605385877107,6.214608098422191,0.6439495131108387
14786,E01015570,Swindon 022E, ,412312,183914,51.55398,-1.82381,d1030fb0-391a-432b-b2b4-5d4670462673,25.915999999999997,74,3.2548605385877107,4.30406509320417,0.6270427538339443
14787,E01015571,Swindon 022F, ,412347,183485,51.55012,-1.82332,5a65ccef-4063-4d22-a522-d98d499db49d,10.311,16,2.3332112865358066,2.772588722239781,0.637738982764661
14788,E01015572,Swindon 016B, ,417171,184902,51.56274,-1.75367,ccb1de25-1c53-468d-bf91-d0126578ae44,12.49499999999999,90,2.525328564286915,4.499809670330265,0.5227485525015831
14789,E01015573,Swindon 016C, ,416729,184599,51.56003,-1.76006,500bcbf3-8929-499a-bec5-e17a1b66a48e,37.872,453,3.634212052771628,6.115892125483034,0.5251977830946707
14790,E01015574,Swindon 017C, ,416189,184589,51.55995,-1.76785,b3764a58-e97f-4bb6-be86-84ecaad87823,18.47900000000001,136,2.916634952195289,4.912654885736052,0.5738006602798471
14791,E01015575,Swindon 016D, ,416782,185070,51.56426,-1.75928,1d3ded00-7ff5-48da-b95f-1b246f365549,31.817999999999998,147,3.460032167383048,4.990432586778736,0.5898806486523345
14792,E01015576,Swindon 017D, ,416279,184148,51.55599,-1.76658,3c9cc4aa-84e6-4d30-8839-c2f0d103bccf,75.52500000000002,187,4.324463727272736,5.231108616854587,0.5261696100653593
14793,E01015578,Swindon 012B, ,414082,185448,51.56773,-1.79821,e827e708-5645-4498-a61e-a4e75ca0d650,203.928,1325,5.31776699036935,7.1891677384203225,0.6506064205684083
14794,E01015579,Swindon 012C, ,413392,184951,51.56328,-1.80819,f2931b95-4dfe-414b-bf56-65e4f542d1cb,27.329000000000004,98,3.307948409442525,4.584967478670572,0.5890134141160303
14795,E01015580,Swindon 007D, ,414663,186391,51.5762,-1.78979,40838b79-2cd2-4890-84ee-f375e1e276f9,11.626,11,2.4532439692791588,2.3978952727983707,0.6650487590461229
14796,E01015581,Swindon 012D, ,413501,186090,51.57352,-1.80657,085337b2-6709-4f0d-b6fd-101d2d4850d3,223.95,1705,5.411422812653309,7.4413203897176174,0.6564940030820106
14797,E01015582,Swindon 012E, ,414596,185904,51.57182,-1.79078,d2b9e337-16cf-49b9-b958-5121baf64036,105.26100000000002,659,4.656442980165514,6.490723534502507,0.6488562934583091
14798,E01015584,Swindon 025B, ,414463,181016,51.52787,-1.7929,6ee056b9-bf0a-4cd5-bfae-5db65cbfd5b6,13.988,335,2.6381998192011293,5.814130531825066,0.588142443124047
14799,E01015585,Swindon 025C, ,413480,178775,51.50775,-1.80716,17aa2495-d57b-4cbb-b7ad-61a28d573e29,70.096,943,4.249865731071543,6.849066282633458,0.6348727434846878
14800,E01015586,Swindon 025D, ,413907,181163,51.52921,-1.80091,5c8d59df-338b-4d42-a754-ca948366d11a,9.566000000000003,61,2.2582151452581054,4.110873864173311,0.6121970482390737
14801,E01015587,Swindon 025E, ,413890,180623,51.52435,-1.80117,ed14e6aa-6766-4911-beb8-7406a940914d,27.865999999999996,306,3.3274073076914,5.723585101952381,0.6096375698746809
14802,E01015588,Swindon 025F, ,418529,179983,51.51847,-1.73434,462290bc-cf85-4d4c-8a9d-ce9b4e15412c,16.173000000000002,98,2.7833431851376416,4.584967478670572,0.49549033477550575
31029,E01032700,Swindon 026B, ,411832,187952,51.5903,-1.83059,c97d0e2a-1b32-47e1-8618-96b32a73a3ef,9.302,201,2.2302294308019053,5.303304908059076,0.384868395739934
31030,E01032701,Swindon 027A, ,412798,188737,51.59734,-1.81662,84694471-e18e-4b4f-b430-9b6cc45589a1,11.112999999999996,66,2.408115594203509,4.189654742026425,0.32028215777739255
31031,E01032702,Swindon 027B, ,413257,189102,51.60061,-1.80998,4394e8c0-9255-4297-a51f-fe239105ec2e,13.621999999999998,44,2.6116861328191265,3.784189633918261,0.31861324973929
31032,E01032703,Swindon 026C, ,412113,188692,51.59695,-1.82651,8904061f-28d4-474c-adfb-14a92ba08380,8.716999999999997,76,2.1652751420294387,4.330733340286331,0.33799979824781545
31033,E01032704,Swindon 027C, ,412485,188833,51.59821,-1.82114,035f13e3-3a70-4161-94fb-b60b5b07ad11,14.823000000000002,85,2.696180028531723,4.442651256490317,0.3339999428634016
31034,E01032705,Swindon 026D, ,411605,188988,51.59962,-1.83384,da9dbf61-f6dd-4526-8818-34c59d366a19,8.855000000000002,2,2.180982271234797,0.6931471805599453,0.3387014021615398
31035,E01032706,Swindon 021E, ,414412,183507,51.55027,-1.79353,56ce3833-0626-4e5f-86b6-91d099b5fd5c,9.705000000000002,75,2.2726412166209737,4.31748811353631,0.5794567388349576
31036,E01032707,Swindon 021F, ,414413,183255,51.54801,-1.79353,8ef1d387-1424-4395-9454-e95a62038801,41.928,415,3.735953861499865,6.028278520230698,0.5723139391873556
31037,E01032708,Swindon 012F, ,413620,184474,51.55899,-1.80492,1d127ed2-323f-408d-8678-a43da9a58ed8,75.089,1269,4.3186740766706055,7.1459844677143876,0.5714630916756677
31038,E01032709,Swindon 026E, ,411414,189466,51.60392,-1.83658,a27f84e9-d334-400b-aaef-d28dfe810403,9.474,6,2.24855120450156,1.791759469228055,0.3248407080192719
31039,E01032710,Swindon 028E, ,413553,188806,51.59794,-1.80572,921de196-14cd-4418-bbc5-d6c4a5a0b448,91.28999999999999,943,4.514041252576989,6.849066282633458,0.33334525296831397
31040,E01032711,Swindon 027D, ,413411,189359,51.60291,-1.80775,39f08dc9-db41-4aa7-a858-d7d3fe477b12,11.112999999999996,29,2.408115594203509,3.367295829986474,0.3194401736982653
31041,E01032712,Swindon 027E, ,412929,189520,51.60437,-1.8147,cb533e0c-e4f4-4322-84f1-72de5ba0b7d2,20.896999999999995,214,3.0396056079979608,5.365976015021851,0.31901081879045395
